GX,GY,GZ,AX,AY,AZ,SX,SY,SZ,TA,TS
318.000000,-12.000000,384.000000,636.000000,-23.000000,768.000000,6996.000000,-242.000000,8448.000000,10971.384780,498.699308
425.000000,-14.000000,595.000000,641.000000,-16.000000,1018.000000,11532.000000,-284.000000,17331.000000,20819.011528,474.962104
481.000000,-16.000000,697.000000,649.000000,-21.000000,1003.000000,15060.000000,-389.000000,23757.000000,28130.943283,349.120323
514.000000,-19.000000,757.000000,647.000000,-27.000000,1001.000000,17720.000000,-549.000000,28637.000000,33680.522116,278.008993
536.000000,-20.000000,799.000000,649.000000,-25.000000,1009.000000,20093.000000,-654.000000,33047.000000,38681.527555,238.524632
552.000000,-20.000000,828.000000,648.000000,-17.000000,1005.000000,22013.000000,-594.000000,36587.000000,42702.852059,201.380237
563.000000,-20.000000,851.000000,647.000000,-15.000000,1017.000000,23693.000000,-494.000000,39907.000000,46413.047023,186.110182
572.000000,-21.000000,868.000000,646.000000,-22.000000,1009.000000,25321.000000,-516.000000,43009.000000,49911.856087,159.241954
579.000000,-22.000000,883.000000,646.000000,-23.000000,1026.000000,26728.000000,-537.000000,46012.000000,53214.457594,157.920866
585.000000,-22.000000,895.000000,650.000000,-18.000000,1018.000000,28028.000000,-457.000000,48472.000000,55993.860530,139.176147
590.000000,-23.000000,904.000000,649.000000,-34.000000,1006.000000,29267.000000,-688.000000,50614.000000,58470.570623,118.346948
593.000000,-24.000000,911.000000,639.000000,-33.000000,1004.000000,30233.000000,-877.000000,52567.000000,60647.282767,104.144131
596.000000,-25.000000,919.000000,640.000000,-29.000000,1030.000000,31157.000000,-961.000000,54898.000000,63130.599348,119.469661
598.000000,-26.000000,925.000000,640.000000,-32.000000,1015.000000,32081.000000,-1093.000000,56878.000000,65310.734906,99.498744
601.000000,-26.000000,929.000000,647.000000,-24.000000,1003.000000,33047.000000,-1051.000000,58432.000000,67137.973115,87.155034
603.000000,-26.000000,933.000000,639.000000,-16.000000,1000.000000,33803.000000,-841.000000,59839.000000,68731.768572,76.713754
604.000000,-26.000000,937.000000,634.000000,-15.000000,1015.000000,34433.000000,-610.000000,61477.000000,70465.772670,84.291162
605.000000,-26.000000,941.000000,641.000000,-13.000000,1022.000000,35189.000000,-337.000000,63178.000000,72317.625611,89.587946
607.000000,-26.000000,944.000000,649.000000,-24.000000,1008.000000,36071.000000,-295.000000,64522.000000,73920.853282,76.576759
608.000000,-26.000000,946.000000,648.000000,-11.000000,1001.000000,36911.000000,20.000000,65677.000000,75338.507086,69.641941
609.000000,-26.000000,948.000000,638.000000,-26.000000,1008.000000,37520.000000,20.000000,66937.000000,76735.342372,66.640828
610.000000,-26.000000,950.000000,646.000000,-14.000000,1008.000000,38276.000000,272.000000,68155.000000,78167.961372,69.310894
611.000000,-26.000000,952.000000,655.000000,-12.000000,1017.000000,39244.000000,580.000000,69585.000000,79890.551137,79.730797
