GX,GY,GZ,AX,AY,AZ,SX,SY,SZ,TA,TS
16380.000000,16380.000000,-16380.000000,32760.000000,32760.000000,-32760.000000,360.507420,360.507420,-360.507420,624.417168,28370.992228
11020.333333,10854.333333,-10543.666667,301.000000,-197.000000,1129.000000,136.848530,129.921350,-116.957230,222.004664,19320.642398
8341.250000,8092.250000,-7617.750000,304.000000,-194.000000,1160.000000,-33.123233,-45.316265,68.674627,88.695642,14502.007505
6732.600000,6435.400000,-5862.400000,298.000000,-192.000000,1159.000000,-174.105319,-190.522599,222.513501,340.769396,11602.868864
5659.833333,5331.666667,-4694.000000,296.000000,-187.000000,1148.000000,-298.632074,-318.643964,358.141373,564.783440,9662.057431
4895.571429,4541.857143,-3859.142857,310.000000,-197.000000,1150.000000,-420.200158,-444.275806,490.938759,784.200249,8281.047308
4322.500000,3950.250000,-3234.625000,311.000000,-191.000000,1137.000000,-505.881786,-532.728765,584.312298,938.689075,7235.550356
3876.444444,3489.222222,-2747.777778,308.000000,-199.000000,1147.000000,-583.374126,-612.822199,668.891292,1078.560141,6442.520691
3518.900000,3120.200000,-2358.000000,301.000000,-201.000000,1150.000000,-651.188150,-682.813167,742.818884,1200.857911,5804.421922
3225.818182,2817.818182,-2041.454545,295.000000,-206.000000,1124.000000,-716.357824,-750.050788,813.205931,1317.971397,5268.137630
2982.083333,2566.250000,-1773.750000,301.000000,-201.000000,1171.000000,-771.856249,-807.332863,874.162256,1418.346950,4849.477597
2775.538462,2354.846154,-1549.692308,297.000000,-182.000000,1139.000000,-823.085160,-859.766937,929.734837,1510.322891,4450.596324
2598.642857,2173.357143,-1357.142857,299.000000,-186.000000,1146.000000,-870.538290,-908.452271,981.387190,1595.695228,4137.710425
2446.133333,2014.933333,-1191.266667,311.000000,-203.000000,1131.000000,-916.565360,-956.264260,1031.448293,1678.814753,3856.286438
2312.375000,1877.000000,-1045.687500,306.000000,-192.000000,1138.000000,-957.782321,-998.767727,1076.307785,1753.089386,3615.908287
2194.411765,1754.529412,-916.941176,307.000000,-205.000000,1143.000000,-998.423959,-1040.962274,1120.664499,1826.565568,3412.541038
2089.722222,1646.055556,-802.500000,310.000000,-198.000000,1143.000000,-1035.009709,-1078.870524,1160.658142,1892.705478,3217.595738
1996.000000,1549.473684,-700.000000,309.000000,-189.000000,1145.000000,-1069.643819,-1114.561389,1198.535992,1955.216999,3045.042652
1911.350000,1462.050000,-607.600000,303.000000,-199.000000,1148.000000,-1104.380962,-1150.436747,1236.453441,2017.914549,2903.103199
1834.857143,1382.666667,-523.380952,305.000000,-205.000000,1161.000000,-1135.590048,-1182.825147,1270.814812,2074.514490,2774.578800
1765.545455,1310.409091,-447.954545,310.000000,-207.000000,1136.000000,-1165.842104,-1214.362977,1303.735724,2129.223354,2632.499748
1701.956522,1244.695652,-378.695652,303.000000,-201.000000,1145.000000,-1194.599055,-1244.080697,1335.056811,2181.096140,2523.640963
1644.125000,1184.625000,-314.833333,314.000000,-197.000000,1154.000000,-1222.733859,-1273.304829,1366.125574,2232.192277,2415.696901
