SpeedX,SpeedY,SpeedZ,iAX,iAY,iAZ,aX,aY,aZ,gX,gY,gZ,tSecs,,,
-0.513636,-0.120739,-0.23159,-0.33389,-0.064923,-0.198479,-0.215552,-0.041913,-0.128134,2.258503,-9.583671,3.450026,62727.566,,,
-1.267535,-0.303751,-0.130524,-0.753899,-0.183012,0.101066,-0.330513,-0.080233,0.044308,2.258503,-9.583671,3.450026,62728.298,,,
-2.337125,-0.427165,-0.171662,-1.069589,-0.123414,-0.041138,-0.280217,-0.032333,-0.010778,2.258503,-9.583671,3.450026,62729.834,,,
-3.599959,-0.860921,-0.078322,-1.262834,-0.433756,0.09334,-0.275427,-0.094603,0.020358,2.258503,-9.583671,3.450026,62730.602,,,
-4.970868,-1.358845,-0.96424,-1.370909,-0.497925,-0.885918,-0.253872,-0.092208,-0.164059,2.258503,-9.583671,3.450026,62731.417,,,
-6.341777,-1.85677,-1.850157,-1.370909,-0.497925,-0.885918,-0.253872,-0.092208,-0.164059,2.258503,-9.583671,3.450026,62731.417,,,
-8.55484,-2.174147,-2.013135,-2.213063,-0.317377,-0.162977,-0.308958,-0.044308,-0.022753,2.258503,-9.583671,3.450026,62733.18,,,
-10.191476,-2.785296,-2.354964,-1.636637,-0.611149,-0.341829,-0.189207,-0.070653,-0.039518,2.258503,-9.583671,3.450026,62734.667,,,
-11.795014,-3.587065,-2.637277,-1.603537,-0.801769,-0.282313,-0.170046,-0.085023,-0.029938,2.258503,-9.583671,3.450026,62735.447,,,
-13.968147,-4.551545,-2.429731,-2.173133,-0.96448,0.207546,-0.213157,-0.094603,0.020358,2.258503,-9.583671,3.450026,62736.212,,,
-17.205368,-5.301633,-2.100745,-3.237221,-0.750088,0.328986,-0.294587,-0.068258,0.029938,2.258503,-9.583671,3.450026,62737.006,,,
-19.845714,-6.635851,-1.581102,-2.640346,-1.334217,0.519643,-0.225132,-0.113763,0.044308,2.258503,-9.583671,3.450026,62737.745,,,
-22.707379,-7.764619,-2.741666,-2.861665,-1.128768,-1.160564,-0.215552,-0.085023,-0.087418,2.258503,-9.583671,3.450026,62739.293,,,
-26.177525,-8.084681,-1.882552,-3.470146,-0.320062,0.859114,-0.246687,-0.022753,0.061073,2.258503,-9.583671,3.450026,62740.084,,,
-29.936422,-8.789474,-1.539192,-3.758897,-0.704793,0.343361,-0.249082,-0.046703,0.022753,2.258503,-9.583671,3.450026,62741.108,,,
-34.13282,-9.6779,-0.575154,-4.196398,-0.888427,0.964037,-0.265847,-0.056283,0.061073,2.258503,-9.583671,3.450026,62741.802,,,
-38.244915,-10.686154,-1.820645,-4.112095,-1.008254,-1.24549,-0.249082,-0.061073,-0.075443,2.258503,-9.583671,3.450026,62742.526,,,
-43.270612,-11.480816,-2.787125,-5.025697,-0.794661,-0.96648,-0.280217,-0.044308,-0.053888,2.258503,-9.583671,3.450026,62743.952,,,
-48.481724,-12.536515,-3.348667,-5.211112,-1.055699,-0.561542,-0.277822,-0.056283,-0.029938,2.258503,-9.583671,3.450026,62744.774,,,
-54.899378,-13.122068,-4.917947,-6.417654,-0.585552,-1.56928,-0.328118,-0.029938,-0.080233,2.258503,-9.583671,3.450026,62745.576,,,
-60.099806,-12.660347,-4.650636,-5.200428,0.46172,0.267312,-0.256267,0.022753,0.013173,2.258503,-9.583671,3.450026,62746.31,,,
-65.150375,-12.894652,-5.301482,-5.050569,-0.234305,-0.650847,-0.232317,-0.010778,-0.029938,2.258503,-9.583671,3.450026,62747.757,,,
-70.210213,-13.029222,-5.436052,-5.059838,-0.13457,-0.13457,-0.225132,-0.005988,-0.005988,2.258503,-9.583671,3.450026,62748.492,,,
-75.335603,-14.709211,-12.070585,-5.12539,-1.679989,-6.634532,-0.215552,-0.070653,-0.27902,2.258503,-9.583671,3.450026,62749.795,,,
-82.24796,-16.619205,-12.222171,-6.912357,-1.909993,-0.151587,-0.273032,-0.075443,-0.005988,2.258503,-9.583671,3.450026,62751.334,,,
-91.158122,-18.021153,-15.74262,-8.910162,-1.401949,-3.520449,-0.342488,-0.053888,-0.135319,2.258503,-9.583671,3.450026,62752.033,,,
-99.108639,-20.93848,-17.377605,-7.950516,-2.917327,-1.634985,-0.296982,-0.108973,-0.061073,2.258503,-9.583671,3.450026,62752.788,,,
-105.930617,-22.795949,-15.722769,-6.821978,-1.857469,1.654836,-0.241897,-0.065863,0.058678,2.258503,-9.583671,3.450026,62754.219,,,
-111.771121,-24.847079,-17.912958,-5.840504,-2.051129,-2.190189,-0.201182,-0.070653,-0.075443,2.258503,-9.583671,3.450026,62755.048,,,
-118.256345,-28.303489,-18.16239,-6.485224,-3.456411,-0.249432,-0.217947,-0.116158,-0.008383,2.258503,-9.583671,3.450026,62755.773,,,
-124.694062,-31.339458,-16.662695,-6.437717,-3.035969,1.499695,-0.210762,-0.099393,0.049098,2.258503,-9.583671,3.450026,62756.562,,,
-134.234579,-33.705807,-12.944147,-9.540517,-2.366349,3.718548,-0.304167,-0.075443,0.118553,2.258503,-9.583671,3.450026,62757.383,,,
-143.993719,-34.925699,-9.048361,-9.759139,-1.219892,3.895785,-0.296982,-0.037123,0.118553,2.258503,-9.583671,3.450026,62758.878,,,
-153.752858,-36.145592,-5.152576,-9.759139,-1.219892,3.895785,-0.296982,-0.037123,0.118553,2.258503,-9.583671,3.450026,62758.878,,,
-162.143538,-39.094791,-3.864897,-8.39068,-2.9492,1.287679,-0.241897,-0.085023,0.037123,2.258503,-9.583671,3.450026,62760.704,,,
-169.439467,-41.427792,-7.046261,-7.295929,-2.333001,-3.181364,-0.205972,-0.065863,-0.089813,2.258503,-9.583671,3.450026,62761.439,,,
-180.616005,-42.42415,-11.508213,-11.176538,-0.996358,-4.461951,-0.308958,-0.027543,-0.123344,2.258503,-9.583671,3.450026,62762.192,,,
-188.145288,-45.568733,-10.400965,-7.529283,-3.144583,1.107247,-0.203577,-0.085023,0.029938,2.258503,-9.583671,3.450026,62763.002,,,
-198.093692,-47.180742,-12.934123,-9.948403,-1.61201,-2.533158,-0.258662,-0.041913,-0.065863,2.258503,-9.583671,3.450026,62764.478,,,
-207.675068,-48.730671,-14.765857,-9.581376,-1.549929,-1.831734,-0.244292,-0.039518,-0.046703,2.258503,-9.583671,3.450026,62765.238,,,
-222.126882,-48.108573,-16.249321,-14.451814,0.622098,-1.483464,-0.361648,0.015568,-0.037123,2.258503,-9.583671,3.450026,62765.978,,,
-231.506085,-52.163124,-14.930371,-9.379203,-4.054551,1.31895,-0.229922,-0.099393,0.032333,2.258503,-9.583671,3.450026,62766.81,,,
-242.561073,-55.001567,-19.362326,-11.054989,-2.838443,-4.431955,-0.265847,-0.068258,-0.106578,2.258503,-9.583671,3.450026,62767.601,,,
-254.12781,-57.893252,-16.977955,-11.566737,-2.891684,2.384371,-0.273032,-0.068258,0.056283,2.258503,-9.583671,3.450026,62768.381,,,
-265.694548,-60.784936,-14.593583,-11.566737,-2.891684,2.384371,-0.273032,-0.068258,0.056283,2.258503,-9.583671,3.450026,62768.381,,,
-278.76267,-65.374979,-14.539583,-13.068122,-4.590043,0.054001,-0.289797,-0.101788,0.001198,2.258503,-9.583671,3.450026,62771.111,,,
-288.30899,-69.050861,-22.714305,-9.54632,-3.675882,-8.174723,-0.208367,-0.080233,-0.178429,2.258503,-9.583671,3.450026,62771.832,,,
-299.593,-73.240468,-23.887396,-11.28401,-4.189608,-1.17309,-0.241897,-0.089813,-0.025148,2.258503,-9.583671,3.450026,62772.665,,,
-311.965542,-76.475491,-22.582036,-12.372542,-3.235022,1.30536,-0.261057,-0.068258,0.027543,2.258503,-9.583671,3.450026,62773.411,,,
-322.911859,-76.417879,-20.680833,-10.946317,0.057612,1.901202,-0.227527,0.001198,0.039518,2.258503,-9.583671,3.450026,62774.127,,,
-334.101136,-80.524581,-23.835257,-11.189277,-4.106703,-3.154424,-0.225132,-0.082628,-0.063468,2.258503,-9.583671,3.450026,62775.718,,,
-348.727499,-81.793811,-25.588003,-14.626363,-1.26923,-1.752746,-0.289797,-0.025148,-0.034728,2.258503,-9.583671,3.450026,62776.488,,,
-359.083884,-86.472901,-30.017541,-10.356385,-4.67909,-4.429538,-0.198787,-0.089813,-0.085023,2.258503,-9.583671,3.450026,62778.115,,,
-372.62555,-88.181429,-32.73853,-13.541666,-1.708528,-2.720989,-0.256267,-0.032333,-0.051493,2.258503,-9.583671,3.450026,62778.859,,Total G,10.43313304
-388.438923,-93.735713,-33.718698,-15.813373,-5.554284,-0.980168,-0.289797,-0.101788,-0.017963,2.258503,-9.583671,3.450026,62780.584,,Total S,66.624
-408.443479,-93.669473,-35.904626,-20.004556,0.06624,-2.185928,-0.361648,0.001198,-0.039518,2.258503,-9.583671,3.450026,62781.332,,,
-424.691258,-99.107779,-46.57982,-16.247779,-5.438306,-10.675194,-0.289797,-0.096998,-0.190404,2.258503,-9.583671,3.450026,62782.083,,,
-442.041666,-104.409292,-47.337179,-17.350408,-5.301513,-0.757359,-0.301772,-0.092208,-0.013173,2.258503,-9.583671,3.450026,62783.512,,,
-455.753301,-106.018311,-42.510124,-13.711635,-1.609018,4.827055,-0.234712,-0.027543,0.082628,2.258503,-9.583671,3.450026,62784.436,,,
-470.061749,-110.197511,-50.939358,-14.308448,-4.1792,-8.429234,-0.241897,-0.070653,-0.142504,2.258503,-9.583671,3.450026,62785.168,,,
-489.564719,-112.850488,-61.909778,-19.50297,-2.652978,-10.97042,-0.325723,-0.044308,-0.183219,2.258503,-9.583671,3.450026,62785.893,,,
-509.168396,-116.553405,-64.450996,-19.603678,-3.702917,-2.541218,-0.323328,-0.061073,-0.041913,2.258503,-9.583671,3.450026,62786.648,,,
-530.308223,-125.262418,-58.421679,-21.139827,-8.709013,6.029317,-0.340093,-0.140109,0.096998,2.258503,-9.583671,3.450026,62788.176,,,
-551.54671,-131.66409,-58.496993,-21.238487,-6.401672,-0.075314,-0.337698,-0.101788,-0.001198,2.258503,-9.583671,3.450026,62788.909,,,
-573.498501,-135.551386,-56.134126,-21.951791,-3.887296,2.362866,-0.344883,-0.061073,0.037123,2.258503,-9.583671,3.450026,62789.667,,,
-595.63548,-142.488679,-56.367968,-22.136979,-6.937293,-0.233841,-0.340093,-0.106578,-0.003593,2.258503,-9.583671,3.450026,62791.108,,,
-619.311326,-143.041115,-50.843604,-23.675846,-0.552436,5.524364,-0.359253,-0.008383,0.083826,2.258503,-9.583671,3.450026,62791.92,,,
-641.835091,-144.398931,-52.520905,-22.523765,-1.357816,-1.677302,-0.337698,-0.020358,-0.025148,2.258503,-9.583671,3.450026,62792.715,,,
-664.448913,-154.978969,-52.763196,-22.613822,-10.580038,-0.242291,-0.335303,-0.156874,-0.003593,2.258503,-9.583671,3.450026,62793.46,,,
-685.838025,-159.632326,-51.86518,-21.389112,-4.653356,0.898016,-0.313748,-0.068258,0.013173,2.258503,-9.583671,3.450026,62794.19,,,
